date,prediksi_NO2
2025-10-01,3.2870835739996207e-06
2025-10-02,3.607245422830788e-06
2025-10-03,4.017122849323811e-06
2025-10-04,3.994560325313786e-06
2025-10-05,3.836752271802505e-06
2025-10-06,3.63282179478066e-06
2025-10-07,3.6398014679195667e-06
